name,database_name,schema_name,table_name,type,stale,mode
MATCHES_SUMMARY_BRONZE_STM,LEAGUE_RECORDS,BRONZE,MATCHES_SUMMARY_BRONZE,DELTA,false,APPEND_ONLY
PLAYERS_SUMMARY_BRONZE_STM,LEAGUE_RECORDS,BRONZE,PLAYERS_SUMMARY_BRONZE,DELTA,false,APPEND_ONLY
MATCH_INTERVALS_BRONZE_STM,LEAGUE_RECORDS,BRONZE,MATCH_INTERVALS_BRONZE,DELTA,false,APPEND_ONLY
ITEMS_REF_BRONZE_STM,LEAGUE_RECORDS,BRONZE,ITEMS_REF_BRONZE,DELTA,false,APPEND_ONLY
CHAMPIONS_REF_BRONZE_STM,LEAGUE_RECORDS,BRONZE,CHAMPIONS_REF_BRONZE,DELTA,false,APPEND_ONLY
